id,subject,body,intent
1,integration work — meeting?,"Hi,

Can you spare 15 minutes this afternoon to discuss integration work? Let me know what works.

Thanks,
Sneha",meeting_request
2,Meeting request: deployment issues,"Hi,

Can you spare 15 minutes tomorrow at 11am to discuss deployment issues? Let me know what works.

Thanks,
Neha",meeting_request
3,Request to schedule a meeting,"Hello Dev,

I would like to set up a quick meeting about integration work. Are you free on June 12?

Regards,
Dev",meeting_request
4,data pipeline — meeting?,"Dear Rohit,

Let's meet to go over data pipeline. Please suggest a suitable slot tomorrow at 11am.

Best,
Rohit",meeting_request
5,Quick sync on Q1 review,"Hi Vikram,

Can we schedule a meeting on June 12 to discuss Q1 review? I'm available in the afternoon.

Thanks,
Vikram",meeting_request
6,Quick sync on data pipeline,"Hello Priya,

I would like to set up a quick meeting about data pipeline. Are you free Friday at 3 PM?

Regards,
Priya",meeting_request
7,Can we meet about release plan?,"Hi Sameer,

Can we schedule a meeting this afternoon to discuss release plan? I'm available in the afternoon.

Thanks,
Sameer",meeting_request
8,Quick sync on release plan,"Dear Neha,

Let's meet to go over release plan. Please suggest a suitable slot next Monday.

Best,
Neha",meeting_request
9,Request to schedule a meeting,"Hi Sameer,

Can we schedule a meeting next Thursday to discuss deployment issues? I'm available in the afternoon.

Thanks,
Sameer",meeting_request
10,Meeting request: Q1 review,"Hi Kavya,

Can we schedule a meeting this afternoon to discuss Q1 review? I'm available in the afternoon.

Thanks,
Kavya",meeting_request
11,Meeting request: release plan,"Hello Manoj,

I would like to set up a quick meeting about release plan. Are you free next Monday?

Regards,
Manoj",meeting_request
12,Can we meet about release plan?,"Hi Maya,

Can we schedule a meeting next Thursday to discuss release plan? I'm available in the afternoon.

Thanks,
Maya",meeting_request
13,release plan — meeting?,"Hi Isha,

Can we schedule a meeting tomorrow to discuss release plan? I'm available in the afternoon.

Thanks,
Isha",meeting_request
14,Meeting request: Q1 review,"Hello Sanjay,

I would like to set up a quick meeting about Q1 review. Are you free on June 12?

Regards,
Sanjay",meeting_request
15,Meeting request: product demo,"Hi Kavya,

Can we schedule a meeting Friday at 3 PM to discuss product demo? I'm available in the afternoon.

Thanks,
Kavya",meeting_request
16,Can we meet about product demo?,"Hi,

Can you spare 15 minutes this afternoon to discuss product demo? Let me know what works.

Thanks,
Dev",meeting_request
17,Can we meet about project status?,"Hello Dev,

I would like to set up a quick meeting about project status. Are you free Monday at 10 AM?

Regards,
Dev",meeting_request
18,Can we meet about release plan?,"Hello Sneha,

I would like to set up a quick meeting about release plan. Are you free Monday at 10 AM?

Regards,
Sneha",meeting_request
19,Can we meet about data pipeline?,"Dear Sameer,

Let's meet to go over data pipeline. Please suggest a suitable slot this afternoon.

Best,
Sameer",meeting_request
20,Meeting request: integration work,"Dear Priya,

Let's meet to go over integration work. Please suggest a suitable slot tomorrow at 11am.

Best,
Priya",meeting_request
21,data pipeline — meeting?,"Hi Sanjay,

Can we schedule a meeting next Monday to discuss data pipeline? I'm available in the afternoon.

Thanks,
Sanjay",meeting_request
22,Request to schedule a meeting,"Hello Asha,

I would like to set up a quick meeting about release notes. Are you free Wednesday morning?

Regards,
Asha",meeting_request
23,Can we meet about release notes?,"Hi,

Can you spare 15 minutes tomorrow to discuss release notes? Let me know what works.

Thanks,
Vikram",meeting_request
24,Request to schedule a meeting,"Hi,

Can you spare 15 minutes Wednesday morning to discuss deployment issues? Let me know what works.

Thanks,
Priya",meeting_request
25,Request to schedule a meeting,"Hi,

Can you spare 15 minutes next Thursday to discuss deployment issues? Let me know what works.

Thanks,
Neha",meeting_request
26,Quick sync on release notes,"Hi,

Can you spare 15 minutes Wednesday morning to discuss release notes? Let me know what works.

Thanks,
Divya",meeting_request
27,Request to schedule a meeting,"Hello Ashwin,

I would like to set up a quick meeting about project status. Are you free next week?

Regards,
Ashwin",meeting_request
28,integration work — meeting?,"Hello Sameer,

I would like to set up a quick meeting about integration work. Are you free next week?

Regards,
Sameer",meeting_request
29,Meeting request: deployment issues,"Hello Neha,

I would like to set up a quick meeting about deployment issues. Are you free next Thursday?

Regards,
Neha",meeting_request
30,Can we meet about deployment issues?,"Dear Sneha,

Let's meet to go over deployment issues. Please suggest a suitable slot tomorrow at 11am.

Best,
Sneha",meeting_request
31,Request to schedule a meeting,"Hello Sanjay,

I would like to set up a quick meeting about Q1 review. Are you free next Thursday?

Regards,
Sanjay",meeting_request
32,Meeting request: project status,"Dear Anita,

Let's meet to go over project status. Please suggest a suitable slot next week.

Best,
Anita",meeting_request
33,Meeting request: data pipeline,"Hello Neha,

I would like to set up a quick meeting about data pipeline. Are you free Wednesday morning?

Regards,
Neha",meeting_request
34,Can we meet about product demo?,"Hi,

Can you spare 15 minutes next Thursday to discuss product demo? Let me know what works.

Thanks,
Vikram",meeting_request
35,Can we meet about deployment issues?,"Dear Sneha,

Let's meet to go over deployment issues. Please suggest a suitable slot tomorrow at 11am.

Best,
Sneha",meeting_request
36,Meeting request: release notes,"Hello Rahul,

I would like to set up a quick meeting about release notes. Are you free next Monday?

Regards,
Rahul",meeting_request
37,release notes — meeting?,"Hello Neha,

I would like to set up a quick meeting about release notes. Are you free Monday at 10 AM?

Regards,
Neha",meeting_request
38,integration work — meeting?,"Hi,

Can you spare 15 minutes Monday at 10 AM to discuss integration work? Let me know what works.

Thanks,
Divya",meeting_request
39,Request to schedule a meeting,"Hello Sameer,

I would like to set up a quick meeting about project status. Are you free tomorrow at 11am?

Regards,
Sameer",meeting_request
40,Request to schedule a meeting,"Dear Isha,

Let's meet to go over deployment issues. Please suggest a suitable slot next Thursday.

Best,
Isha",meeting_request
41,Quick sync on Q1 review,"Hi Kiran,

Can we schedule a meeting on June 12 to discuss Q1 review? I'm available in the afternoon.

Thanks,
Kiran",meeting_request
42,Can we meet about integration work?,"Hi,

Can you spare 15 minutes Wednesday morning to discuss integration work? Let me know what works.

Thanks,
Ashwin",meeting_request
43,Quick sync on data pipeline,"Dear Dev,

Let's meet to go over data pipeline. Please suggest a suitable slot on June 12.

Best,
Dev",meeting_request
44,Can we meet about Q1 review?,"Dear Kiran,

Let's meet to go over Q1 review. Please suggest a suitable slot Monday at 10 AM.

Best,
Kiran",meeting_request
